---> Starting with dimension 16  and correlation 0 
Run: 3 out of 10  -  2025-06-11 09:51:51.125491 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 09:51:51.126265 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 09:51:51.126863 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 09:51:51.127435 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 09:51:51.127968 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 09:51:51.128585 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 09:51:51.129066 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 09:51:51.129518 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.129981 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 09:51:51.130447 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 09:51:51.130917 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 09:51:51.131385 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 09:51:51.13185 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 09:51:51.13229 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 09:51:51.132738 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 09:51:51.133172 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 09:51:51.133603 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 09:51:51.134068 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.134539 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 09:51:51.13501 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 09:51:51.13546 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 09:51:51.135925 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 09:51:51.136362 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 09:51:51.13685 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 09:51:51.137331 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 09:51:51.170471 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 09:51:51.17164 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 09:51:51.172547 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.173419 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 09:51:51.174173 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 09:51:51.174906 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 09:51:51.175575 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 09:51:51.176222 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 09:51:51.176795 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 09:51:51.177331 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 09:51:51.178257 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 09:51:51.179166 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 09:51:51.179927 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.180571 with b: 0.526 
