---> Starting with dimension 16  and correlation 0 
Run: 2 out of 10  -  2025-06-11 09:52:47.018657 with b: 2 
Run: 3 out of 10  -  2025-06-11 09:52:47.252212 with b: 2 
Run: 4 out of 10  -  2025-06-11 09:52:47.49291 with b: 2 
Run: 5 out of 10  -  2025-06-11 09:52:47.769291 with b: 2 
Run: 6 out of 10  -  2025-06-11 09:52:48.01051 with b: 2 
Run: 7 out of 10  -  2025-06-11 09:52:48.246705 with b: 2 
Run: 8 out of 10  -  2025-06-11 09:52:48.489242 with b: 2 
Run: 9 out of 10  -  2025-06-11 09:52:48.758705 with b: 2 
Run: 10 out of 10  -  2025-06-11 09:52:49.075026 with b: 2 

 20 / 20 
---> Finished with dimension 256  and correlation 0 
---> Starting with dimension 512  and correlation 0 
Run: 1 out of 10  -  2025-06-11 09:52:49.26772 with b: -2 
Run: 2 out of 10  -  2025-06-11 09:52:50.963428 with b: -2 
Run: 3 out of 10  -  2025-06-11 09:52:52.678234 with b: -2 
Run: 4 out of 10  -  2025-06-11 09:52:54.457746 with b: -2 
Run: 5 out of 10  -  2025-06-11 09:52:56.655155 with b: -2 
Run: 6 out of 10  -  2025-06-11 09:52:58.354188 with b: -2 
Run: 7 out of 10  -  2025-06-11 09:53:00.107986 with b: -2 
Run: 8 out of 10  -  2025-06-11 09:53:01.915959 with b: -2 
Run: 9 out of 10  -  2025-06-11 09:53:03.685883 with b: -2 
Run: 10 out of 10  -  2025-06-11 09:53:05.484892 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 09:53:07.222857 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 09:53:08.99855 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 09:53:10.777981 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 09:53:12.54514 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 09:53:14.275872 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 09:53:16.110042 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 09:53:17.918689 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 09:53:19.705158 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 09:53:21.512988 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 09:53:23.540534 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 09:53:26.07879 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 09:53:27.90408 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 09:53:29.675065 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 09:53:31.429116 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 09:53:33.205837 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 09:53:35.017622 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 09:53:36.795205 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 09:53:38.593001 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 09:53:40.399768 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 09:53:42.202844 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 09:53:43.983729 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 09:53:45.76463 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 09:53:47.56902 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 09:53:49.319095 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 09:53:51.077423 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 09:53:52.814812 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 09:53:54.553046 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 09:53:56.312392 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 09:53:58.068438 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 09:53:59.81193 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 09:54:01.590715 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 09:54:03.332731 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 09:54:05.100229 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 09:54:07.597781 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 09:54:09.89469 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 09:54:12.141055 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 09:54:13.950107 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 09:54:15.823283 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 09:54:17.578588 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 09:54:19.283264 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 09:54:21.053041 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 09:54:22.840484 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 09:54:25.299743 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 09:54:27.063258 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 09:54:28.847412 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 09:54:30.618653 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 09:54:32.358153 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 09:54:34.105526 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 09:54:35.843433 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 09:54:37.612888 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 09:54:39.407171 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 09:54:41.176562 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 09:54:42.943415 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 09:54:44.732233 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 09:54:46.504763 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 09:54:48.226418 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 09:54:50.016933 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 09:54:51.784745 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 09:54:53.546523 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 09:54:55.296526 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 09:54:57.061631 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 09:54:58.845808 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 09:55:00.568912 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 09:55:02.330609 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 09:55:04.075426 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 09:55:05.880764 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 09:55:07.602256 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 09:55:09.360736 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 09:55:11.555055 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 09:55:13.562528 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 09:55:15.352324 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 09:55:17.060854 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 09:55:19.496578 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 09:55:21.308112 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 09:55:23.624102 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 09:55:25.394158 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 09:55:27.120258 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 09:55:28.840235 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 09:55:30.542638 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 09:55:32.344723 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 09:55:34.120977 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 09:55:36.709387 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 09:55:38.686637 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 09:55:40.534689 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 09:55:42.330768 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 09:55:44.094971 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 09:55:45.92714 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 09:55:47.702533 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 09:55:49.50688 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 09:55:51.30687 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 09:55:53.086229 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 09:55:54.893681 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 09:55:56.671768 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 09:55:58.437568 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 09:56:00.222986 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 09:56:02.015765 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 09:56:03.773924 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 09:56:05.546813 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 09:56:07.393777 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 09:56:09.136926 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 09:56:10.903054 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 09:56:12.634628 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 09:56:14.358687 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 09:56:16.137934 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 09:56:17.907918 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 09:56:19.66223 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 09:56:21.451472 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 09:56:23.286103 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 09:56:25.079476 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 09:56:26.855422 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 09:56:29.306749 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 09:56:31.083685 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 09:56:32.90239 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 09:56:34.663584 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 09:56:36.404932 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 09:56:38.164901 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 09:56:39.919039 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 09:56:41.649036 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 09:56:43.415765 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 09:56:45.118962 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 09:56:46.861907 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 09:56:48.6499 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 09:56:51.11428 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 09:56:53.412943 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 09:56:55.277627 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 09:56:57.066584 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 09:56:58.831791 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 09:57:00.638383 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 09:57:02.405337 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 09:57:04.216217 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 09:57:06.079357 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 09:57:07.868903 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 09:57:09.666766 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 09:57:11.366343 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 09:57:13.134405 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 09:57:14.918446 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 09:57:17.086762 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 09:57:19.09366 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 09:57:20.888506 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 09:57:22.621064 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 09:57:24.402173 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 09:57:26.188537 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 09:57:27.905673 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 09:57:29.680521 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 09:57:31.437744 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 09:57:33.168692 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 09:57:34.909362 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 09:57:36.648417 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 09:57:38.440775 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 09:57:40.815958 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 09:57:42.55968 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 09:57:44.343556 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 09:57:46.105168 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 09:57:47.94855 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 09:57:49.667808 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 09:57:51.454046 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 09:57:53.147367 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 09:57:54.88598 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 09:57:56.679254 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 09:57:58.424243 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 09:58:00.168498 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 09:58:01.877318 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 09:58:03.579355 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 09:58:05.373403 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 09:58:07.177662 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 09:58:08.929964 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 09:58:10.657075 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 09:58:12.421311 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 09:58:14.206537 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 09:58:15.932208 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 09:58:17.686568 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 09:58:20.127863 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 09:58:22.094518 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 09:58:23.869374 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 09:58:25.644217 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 09:58:27.443058 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 09:58:29.147843 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 09:58:30.909606 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 09:58:32.690999 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 09:58:34.43499 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 09:58:36.228404 with b: 2 
Run: 2 out of 10  -  2025-06-11 09:58:37.997668 with b: 2 
Run: 3 out of 10  -  2025-06-11 09:58:39.831635 with b: 2 
Run: 4 out of 10  -  2025-06-11 09:58:41.572048 with b: 2 
Run: 5 out of 10  -  2025-06-11 09:58:43.38751 with b: 2 
Run: 6 out of 10  -  2025-06-11 09:58:45.165094 with b: 2 
Run: 7 out of 10  -  2025-06-11 09:58:46.903065 with b: 2 
Run: 8 out of 10  -  2025-06-11 09:58:48.696179 with b: 2 
Run: 9 out of 10  -  2025-06-11 09:58:51.192235 with b: 2 
Run: 10 out of 10  -  2025-06-11 09:58:52.963176 with b: 2 

 20 / 20 
---> Finished with dimension 512  and correlation 0 
---> Starting with dimension 1024  and correlation 0 
Run: 1 out of 10  -  2025-06-11 09:58:54.702628 with b: -2 
Run: 2 out of 10  -  2025-06-11 09:59:10.096973 with b: -2 
Run: 3 out of 10  -  2025-06-11 09:59:26.380274 with b: -2 
Run: 4 out of 10  -  2025-06-11 09:59:41.891309 with b: -2 
Run: 5 out of 10  -  2025-06-11 09:59:58.420096 with b: -2 
Run: 6 out of 10  -  2025-06-11 10:00:13.914526 with b: -2 
Run: 7 out of 10  -  2025-06-11 10:00:30.275603 with b: -2 
Run: 8 out of 10  -  2025-06-11 10:00:45.487784 with b: -2 
Run: 9 out of 10  -  2025-06-11 10:01:02.004966 with b: -2 
Run: 10 out of 10  -  2025-06-11 10:01:19.926114 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 10:01:35.841363 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 10:01:58.712961 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 10:02:14.285464 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 10:02:44.544703 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 10:02:59.809224 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 10:03:15.346852 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 10:03:31.029489 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 10:03:47.467113 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 10:04:04.347552 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 10:04:20.499699 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 10:04:37.717408 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 10:04:53.537206 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 10:05:10.928439 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 10:05:26.457365 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 10:05:56.774429 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 10:06:27.818932 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 10:06:43.496093 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 10:06:59.071388 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 10:07:14.621209 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 10:07:30.213067 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 10:07:45.925691 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 10:08:01.748534 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 10:08:18.200507 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 10:08:34.189359 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 10:08:53.04614 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 10:09:09.161973 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 10:09:24.873645 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 10:09:40.223273 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 10:09:57.237944 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 10:10:14.991994 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 10:10:30.595709 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 10:10:46.313669 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 10:11:02.54091 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 10:11:17.882883 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 10:11:34.215587 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 10:11:51.624197 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 10:12:08.198244 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 10:12:25.217897 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 10:12:40.930055 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 10:12:57.570927 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 10:13:27.979468 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 10:13:43.649661 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 10:13:59.320817 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 10:14:14.807011 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 10:14:30.409191 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 10:14:45.949147 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 10:15:02.526678 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 10:15:17.962843 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 10:15:34.645707 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 10:15:50.471745 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 10:16:06.156102 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 10:16:21.200783 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 10:16:38.843008 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 10:16:56.11001 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 10:17:12.054486 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 10:17:42.745904 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 10:17:58.516519 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 10:18:13.772126 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 10:18:29.570407 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 10:18:45.032535 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 10:19:01.142435 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 10:19:16.691734 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 10:19:32.285426 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 10:19:47.801948 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 10:20:18.502098 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 10:20:33.959161 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 10:20:49.664212 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 10:21:06.910406 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 10:21:23.118938 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 10:21:38.594051 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 10:21:54.833178 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 10:22:10.358328 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 10:22:27.726403 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 10:22:43.259178 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 10:22:59.637153 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 10:23:15.052755 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 10:23:30.728509 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 10:23:46.544761 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 10:24:17.396359 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 10:24:34.691096 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 10:24:52.402644 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 10:25:08.697745 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 10:25:24.417562 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 10:25:40.007126 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 10:25:59.057619 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 10:26:14.92769 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 10:26:31.490895 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 10:26:46.681576 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 10:27:02.257598 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 10:27:17.616738 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 10:27:47.902698 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 10:28:04.357693 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 10:28:19.840995 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 10:28:35.435535 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 10:28:51.23538 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 10:29:06.892101 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 10:29:23.459817 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 10:29:39.190752 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 10:29:55.565815 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 10:30:11.173429 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 10:30:27.996936 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 10:30:43.711812 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 10:31:14.065916 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 10:31:29.792657 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 10:31:45.52902 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 10:32:01.024045 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 10:32:16.605719 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 10:32:33.061329 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 10:32:50.396338 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 10:33:05.889362 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 10:33:22.249086 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 10:33:37.968367 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 10:33:55.865314 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 10:34:11.167464 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 10:34:41.417493 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 10:35:11.609857 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 10:35:27.196905 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 10:35:43.135472 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 10:35:58.834964 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 10:36:14.055393 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 10:36:30.245225 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 10:36:46.042239 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 10:37:02.5707 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 10:37:18.181751 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 10:37:35.03079 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 10:37:53.192168 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 10:38:11.094767 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 10:38:26.888113 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 10:38:57.262246 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 10:39:14.596943 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 10:39:30.578636 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 10:39:46.190349 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 10:40:02.096189 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 10:40:17.584439 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 10:40:33.422774 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 10:40:48.9622 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 10:41:05.307719 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 10:41:20.67331 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 10:41:36.789052 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 10:41:51.781721 with b: 0.947 

 15 / 20 
